	Strategy	Query	Class	Value
399	GraphDensity	q4	thriller	3
400	GraphDensity	q4	unknown	33
401	GraphDensity	q4	crime drama	2
402	GraphDensity	q4	romance	1
403	GraphDensity	q4	drama	26
404	GraphDensity	q4	western	4
405	GraphDensity	q4	comedy	17
406	GraphDensity	q5	musical	3
407	GraphDensity	q5	crime	4
408	GraphDensity	q5	action	2
409	GraphDensity	q5	mystery	2
410	GraphDensity	q5	film noir	1
411	GraphDensity	q5	adventure	2
412	GraphDensity	q5	horror	1
413	GraphDensity	q5	thriller	2
414	GraphDensity	q5	unknown	19
415	GraphDensity	q5	crime drama	2
416	GraphDensity	q5	romance	3
417	GraphDensity	q5	drama	36
418	GraphDensity	q5	western	2
419	GraphDensity	q5	comedy	21
420	GraphDensity	q6	musical	3
421	GraphDensity	q6	crime	3
422	GraphDensity	q6	action	6
423	GraphDensity	q6	mystery	4
424	GraphDensity	q6	film noir	1
425	GraphDensity	q6	adventure	2
426	GraphDensity	q6	horror	3
427	GraphDensity	q6	thriller	4
428	GraphDensity	q6	unknown	29
429	GraphDensity	q6	crime drama	2
430	GraphDensity	q6	romance	2
431	GraphDensity	q6	drama	20
432	GraphDensity	q6	western	7
433	GraphDensity	q6	comedy	14
434	GraphDensity	q7	musical	1
435	GraphDensity	q7	crime	4
436	GraphDensity	q7	action	5
437	GraphDensity	q7	mystery	2
438	GraphDensity	q7	film noir	0
439	GraphDensity	q7	adventure	1
440	GraphDensity	q7	horror	2
441	GraphDensity	q7	thriller	3
442	GraphDensity	q7	unknown	22
443	GraphDensity	q7	crime drama	0
444	GraphDensity	q7	romance	4
445	GraphDensity	q7	drama	32
446	GraphDensity	q7	western	6
447	GraphDensity	q7	comedy	18
448	EER	q0	musical	3
449	EER	q0	crime	0
450	EER	q0	action	1
451	EER	q0	mystery	0
452	EER	q0	film noir	2
453	EER	q0	adventure	4
454	EER	q0	horror	2
455	EER	q0	thriller	7
456	EER	q0	unknown	28
457	EER	q0	crime drama	0
458	EER	q0	romance	1
459	EER	q0	drama	26
460	EER	q0	western	5
461	EER	q0	comedy	21
462	EER	q1	musical	3
463	EER	q1	crime	6
464	EER	q1	action	1
465	EER	q1	mystery	3
466	EER	q1	film noir	0
467	EER	q1	adventure	1
468	EER	q1	horror	1
469	EER	q1	thriller	3
470	EER	q1	unknown	28
471	EER	q1	crime drama	1
472	EER	q1	romance	2
473	EER	q1	drama	24
474	EER	q1	western	6
475	EER	q1	comedy	21
476	EER	q2	musical	1
477	EER	q2	crime	8
478	EER	q2	action	8
479	EER	q2	mystery	1
480	EER	q2	film noir	1
481	EER	q2	adventure	4
482	EER	q2	horror	6
483	EER	q2	thriller	4
484	EER	q2	unknown	32
485	EER	q2	crime drama	0
486	EER	q2	romance	2
487	EER	q2	drama	18
