	Strategy	Query	Class	Value
269	Uncertainty	q5	talk.religion.misc	0
270	Uncertainty	q5	comp.sys.ibm.pc.hardware	1
271	Uncertainty	q5	comp.sys.mac.hardware	2
272	Uncertainty	q5	talk.politics.mideast	0
273	Uncertainty	q5	sci.electronics	1
274	Uncertainty	q5	comp.windows.x	2
275	Uncertainty	q5	sci.crypt	5
276	Uncertainty	q5	rec.motorcycles	24
277	Uncertainty	q5	comp.os.ms-windows.misc	3
278	Uncertainty	q5	rec.sport.baseball	5
279	Uncertainty	q5	rec.autos	2
280	Uncertainty	q6	sci.med	1
281	Uncertainty	q6	sci.space	2
282	Uncertainty	q6	rec.sport.hockey	2
283	Uncertainty	q6	talk.politics.misc	0
284	Uncertainty	q6	talk.politics.guns	0
285	Uncertainty	q6	soc.religion.christian	0
286	Uncertainty	q6	alt.atheism	0
287	Uncertainty	q6	misc.forsale	8
288	Uncertainty	q6	comp.graphics	51
289	Uncertainty	q6	talk.religion.misc	1
290	Uncertainty	q6	comp.sys.ibm.pc.hardware	2
291	Uncertainty	q6	comp.sys.mac.hardware	2
292	Uncertainty	q6	talk.politics.mideast	0
293	Uncertainty	q6	sci.electronics	1
294	Uncertainty	q6	comp.windows.x	4
295	Uncertainty	q6	sci.crypt	1
296	Uncertainty	q6	rec.motorcycles	15
297	Uncertainty	q6	comp.os.ms-windows.misc	2
298	Uncertainty	q6	rec.sport.baseball	5
299	Uncertainty	q6	rec.autos	3
300	Uncertainty	q7	sci.med	0
301	Uncertainty	q7	sci.space	0
302	Uncertainty	q7	rec.sport.hockey	2
303	Uncertainty	q7	talk.politics.misc	0
304	Uncertainty	q7	talk.politics.guns	0
305	Uncertainty	q7	soc.religion.christian	0
306	Uncertainty	q7	alt.atheism	0
307	Uncertainty	q7	misc.forsale	6
308	Uncertainty	q7	comp.graphics	58
309	Uncertainty	q7	talk.religion.misc	0
310	Uncertainty	q7	comp.sys.ibm.pc.hardware	0
311	Uncertainty	q7	comp.sys.mac.hardware	0
312	Uncertainty	q7	talk.politics.mideast	0
313	Uncertainty	q7	sci.electronics	0
314	Uncertainty	q7	comp.windows.x	0
315	Uncertainty	q7	sci.crypt	0
316	Uncertainty	q7	rec.motorcycles	8
317	Uncertainty	q7	comp.os.ms-windows.misc	2
318	Uncertainty	q7	rec.sport.baseball	24
319	Uncertainty	q7	rec.autos	0
320	QBC	q0	sci.med	2
321	QBC	q0	sci.space	3
322	QBC	q0	rec.sport.hockey	0
323	QBC	q0	talk.politics.misc	1
324	QBC	q0	talk.politics.guns	2
325	QBC	q0	soc.religion.christian	3
326	QBC	q0	alt.atheism	1
327	QBC	q0	misc.forsale	6
328	QBC	q0	comp.graphics	34
329	QBC	q0	talk.religion.misc	0
330	QBC	q0	comp.sys.ibm.pc.hardware	3
331	QBC	q0	comp.sys.mac.hardware	4
332	QBC	q0	talk.politics.mideast	3
333	QBC	q0	sci.electronics	2
334	QBC	q0	comp.windows.x	4
335	QBC	q0	sci.crypt	3
336	QBC	q0	rec.motorcycles	14
337	QBC	q0	comp.os.ms-windows.misc	3
338	QBC	q0	rec.sport.baseball	7
339	QBC	q0	rec.autos	5
340	QBC	q1	sci.med	3
341	QBC	q1	sci.space	4
342	QBC	q1	rec.sport.hockey	3
343	QBC	q1	talk.politics.misc	0
344	QBC	q1	talk.politics.guns	3
345	QBC	q1	soc.religion.christian	0
346	QBC	q1	alt.atheism	6
347	QBC	q1	misc.forsale	17
348	QBC	q1	comp.graphics	28
349	QBC	q1	talk.religion.misc	5
350	QBC	q1	comp.sys.ibm.pc.hardware	1
351	QBC	q1	comp.sys.mac.hardware	0
352	QBC	q1	talk.politics.mideast	0
353	QBC	q1	sci.electronics	2
354	QBC	q1	comp.windows.x	2
355	QBC	q1	sci.crypt	1
356	QBC	q1	rec.motorcycles	19
357	QBC	q1	comp.os.ms-windows.misc	2
358	QBC	q1	rec.sport.baseball	4
359	QBC	q1	rec.autos	0
360	QBC	q2	sci.med	7
361	QBC	q2	sci.space	2
362	QBC	q2	rec.sport.hockey	3
363	QBC	q2	talk.politics.misc	2
364	QBC	q2	talk.politics.guns	1
365	QBC	q2	soc.religion.christian	5
366	QBC	q2	alt.atheism	1
367	QBC	q2	misc.forsale	5
368	QBC	q2	comp.graphics	35
369	QBC	q2	talk.religion.misc	1
370	QBC	q2	comp.sys.ibm.pc.hardware	4
371	QBC	q2	comp.sys.mac.hardware	1
372	QBC	q2	talk.politics.mideast	2
373	QBC	q2	sci.electronics	2
374	QBC	q2	comp.windows.x	0
375	QBC	q2	sci.crypt	1
376	QBC	q2	rec.motorcycles	14
377	QBC	q2	comp.os.ms-windows.misc	2
378	QBC	q2	rec.sport.baseball	11
379	QBC	q2	rec.autos	1
380	QBC	q3	sci.med	1
381	QBC	q3	sci.space	0
382	QBC	q3	rec.sport.hockey	0
383	QBC	q3	talk.politics.misc	2
384	QBC	q3	talk.politics.guns	5
385	QBC	q3	soc.religion.christian	2
386	QBC	q3	alt.atheism	2
387	QBC	q3	misc.forsale	9
388	QBC	q3	comp.graphics	45
389	QBC	q3	talk.religion.misc	4
390	QBC	q3	comp.sys.ibm.pc.hardware	6
391	QBC	q3	comp.sys.mac.hardware	0
392	QBC	q3	talk.politics.mideast	0
393	QBC	q3	sci.electronics	1
394	QBC	q3	comp.windows.x	1
395	QBC	q3	sci.crypt	1
396	QBC	q3	rec.motorcycles	11
397	QBC	q3	comp.os.ms-windows.misc	5
398	QBC	q3	rec.sport.baseball	3
399	QBC	q3	rec.autos	2
400	QBC	q4	sci.med	1
401	QBC	q4	sci.space	0
402	QBC	q4	rec.sport.hockey	0
403	QBC	q4	talk.politics.misc	3
404	QBC	q4	talk.politics.guns	0
405	QBC	q4	soc.religion.christian	3
406	QBC	q4	alt.atheism	2
407	QBC	q4	misc.forsale	3
408	QBC	q4	comp.graphics	43
409	QBC	q4	talk.religion.misc	1
410	QBC	q4	comp.sys.ibm.pc.hardware	1
411	QBC	q4	comp.sys.mac.hardware	5
412	QBC	q4	talk.politics.mideast	5
413	QBC	q4	sci.electronics	2
414	QBC	q4	comp.windows.x	1
415	QBC	q4	sci.crypt	2
416	QBC	q4	rec.motorcycles	17
417	QBC	q4	comp.os.ms-windows.misc	3
418	QBC	q4	rec.sport.baseball	3
419	QBC	q4	rec.autos	5
420	QBC	q5	sci.med	2
421	QBC	q5	sci.space	6
422	QBC	q5	rec.sport.hockey	1
423	QBC	q5	talk.politics.misc	1
424	QBC	q5	talk.politics.guns	4
425	QBC	q5	soc.religion.christian	0
426	QBC	q5	alt.atheism	1
427	QBC	q5	misc.forsale	4
428	QBC	q5	comp.graphics	40
429	QBC	q5	talk.religion.misc	1
430	QBC	q5	comp.sys.ibm.pc.hardware	1
431	QBC	q5	comp.sys.mac.hardware	1
432	QBC	q5	talk.politics.mideast	3
433	QBC	q5	sci.electronics	1
434	QBC	q5	comp.windows.x	0
435	QBC	q5	sci.crypt	2
436	QBC	q5	rec.motorcycles	27
437	QBC	q5	comp.os.ms-windows.misc	1
438	QBC	q5	rec.sport.baseball	4
439	QBC	q5	rec.autos	0
440	QBC	q6	sci.med	0
441	QBC	q6	sci.space	0
442	QBC	q6	rec.sport.hockey	2
443	QBC	q6	talk.politics.misc	0
444	QBC	q6	talk.politics.guns	0
445	QBC	q6	soc.religion.christian	1
446	QBC	q6	alt.atheism	0
447	QBC	q6	misc.forsale	23
448	QBC	q6	comp.graphics	46
449	QBC	q6	talk.religion.misc	3
450	QBC	q6	comp.sys.ibm.pc.hardware	0
451	QBC	q6	comp.sys.mac.hardware	5
452	QBC	q6	talk.politics.mideast	1
453	QBC	q6	sci.electronics	0
454	QBC	q6	comp.windows.x	0
455	QBC	q6	sci.crypt	1
456	QBC	q6	rec.motorcycles	15
457	QBC	q6	comp.os.ms-windows.misc	0
458	QBC	q6	rec.sport.baseball	1
459	QBC	q6	rec.autos	2
460	QBC	q7	sci.med	0
461	QBC	q7	sci.space	0
462	QBC	q7	rec.sport.hockey	7
463	QBC	q7	talk.politics.misc	7
464	QBC	q7	talk.politics.guns	0
465	QBC	q7	soc.religion.christian	2
466	QBC	q7	alt.atheism	3
467	QBC	q7	misc.forsale	11
468	QBC	q7	comp.graphics	3
469	QBC	q7	talk.religion.misc	0
470	QBC	q7	comp.sys.ibm.pc.hardware	0
471	QBC	q7	comp.sys.mac.hardware	0
472	QBC	q7	talk.politics.mideast	1
473	QBC	q7	sci.electronics	6
474	QBC	q7	comp.windows.x	7
475	QBC	q7	sci.crypt	5
476	QBC	q7	rec.motorcycles	0
477	QBC	q7	comp.os.ms-windows.misc	0
478	QBC	q7	rec.sport.baseball	47
479	QBC	q7	rec.autos	1
480	GraphDensity	q0	sci.med	2
481	GraphDensity	q0	sci.space	3
482	GraphDensity	q0	rec.sport.hockey	0
483	GraphDensity	q0	talk.politics.misc	1
484	GraphDensity	q0	talk.politics.guns	2
485	GraphDensity	q0	soc.religion.christian	3
486	GraphDensity	q0	alt.atheism	1
487	GraphDensity	q0	misc.forsale	6
488	GraphDensity	q0	comp.graphics	34
489	GraphDensity	q0	talk.religion.misc	0
490	GraphDensity	q0	comp.sys.ibm.pc.hardware	3
491	GraphDensity	q0	comp.sys.mac.hardware	4
492	GraphDensity	q0	talk.politics.mideast	3
493	GraphDensity	q0	sci.electronics	2
494	GraphDensity	q0	comp.windows.x	4
495	GraphDensity	q0	sci.crypt	3
496	GraphDensity	q0	rec.motorcycles	14
497	GraphDensity	q0	comp.os.ms-windows.misc	3
498	GraphDensity	q0	rec.sport.baseball	7
499	GraphDensity	q0	rec.autos	5
500	GraphDensity	q1	sci.med	3
501	GraphDensity	q1	sci.space	1
502	GraphDensity	q1	rec.sport.hockey	3
503	GraphDensity	q1	talk.politics.misc	0
504	GraphDensity	q1	talk.politics.guns	2
505	GraphDensity	q1	soc.religion.christian	1
506	GraphDensity	q1	alt.atheism	0
507	GraphDensity	q1	misc.forsale	7
508	GraphDensity	q1	comp.graphics	37
509	GraphDensity	q1	talk.religion.misc	2
510	GraphDensity	q1	comp.sys.ibm.pc.hardware	0
511	GraphDensity	q1	comp.sys.mac.hardware	3
512	GraphDensity	q1	talk.politics.mideast	1
513	GraphDensity	q1	sci.electronics	0
514	GraphDensity	q1	comp.windows.x	0
515	GraphDensity	q1	sci.crypt	1
516	GraphDensity	q1	rec.motorcycles	18
517	GraphDensity	q1	comp.os.ms-windows.misc	1
518	GraphDensity	q1	rec.sport.baseball	16
519	GraphDensity	q1	rec.autos	4
520	GraphDensity	q2	sci.med	1
521	GraphDensity	q2	sci.space	3
522	GraphDensity	q2	rec.sport.hockey	3
523	GraphDensity	q2	talk.politics.misc	1
524	GraphDensity	q2	talk.politics.guns	1
525	GraphDensity	q2	soc.religion.christian	3
526	GraphDensity	q2	alt.atheism	4
527	GraphDensity	q2	misc.forsale	8
528	GraphDensity	q2	comp.graphics	42
529	GraphDensity	q2	talk.religion.misc	3
530	GraphDensity	q2	comp.sys.ibm.pc.hardware	3
531	GraphDensity	q2	comp.sys.mac.hardware	1
532	GraphDensity	q2	talk.politics.mideast	3
533	GraphDensity	q2	sci.electronics	2
534	GraphDensity	q2	comp.windows.x	2
535	GraphDensity	q2	sci.crypt	3
536	GraphDensity	q2	rec.motorcycles	11
537	GraphDensity	q2	comp.os.ms-windows.misc	0
538	GraphDensity	q2	rec.sport.baseball	6
539	GraphDensity	q2	rec.autos	0
540	GraphDensity	q3	sci.med	3
541	GraphDensity	q3	sci.space	3
542	GraphDensity	q3	rec.sport.hockey	1
543	GraphDensity	q3	talk.politics.misc	2
544	GraphDensity	q3	talk.politics.guns	0
545	GraphDensity	q3	soc.religion.christian	1
546	GraphDensity	q3	alt.atheism	2
547	GraphDensity	q3	misc.forsale	10
548	GraphDensity	q3	comp.graphics	37
549	GraphDensity	q3	talk.religion.misc	1
550	GraphDensity	q3	comp.sys.ibm.pc.hardware	1
551	GraphDensity	q3	comp.sys.mac.hardware	1
552	GraphDensity	q3	talk.politics.mideast	2
553	GraphDensity	q3	sci.electronics	3
554	GraphDensity	q3	comp.windows.x	1
555	GraphDensity	q3	sci.crypt	0
556	GraphDensity	q3	rec.motorcycles	20
557	GraphDensity	q3	comp.os.ms-windows.misc	2
558	GraphDensity	q3	rec.sport.baseball	9
559	GraphDensity	q3	rec.autos	1
560	GraphDensity	q4	sci.med	2
561	GraphDensity	q4	sci.space	1
562	GraphDensity	q4	rec.sport.hockey	3
563	GraphDensity	q4	talk.politics.misc	5
564	GraphDensity	q4	talk.politics.guns	3
565	GraphDensity	q4	soc.religion.christian	1
566	GraphDensity	q4	alt.atheism	2
567	GraphDensity	q4	misc.forsale	13
568	GraphDensity	q4	comp.graphics	27
569	GraphDensity	q4	talk.religion.misc	2
570	GraphDensity	q4	comp.sys.ibm.pc.hardware	2
571	GraphDensity	q4	comp.sys.mac.hardware	2
572	GraphDensity	q4	talk.politics.mideast	1
573	GraphDensity	q4	sci.electronics	2
574	GraphDensity	q4	comp.windows.x	1
575	GraphDensity	q4	sci.crypt	1
576	GraphDensity	q4	rec.motorcycles	18
577	GraphDensity	q4	comp.os.ms-windows.misc	4
578	GraphDensity	q4	rec.sport.baseball	9
579	GraphDensity	q4	rec.autos	1
580	GraphDensity	q5	sci.med	4
581	GraphDensity	q5	sci.space	0
582	GraphDensity	q5	rec.sport.hockey	1
583	GraphDensity	q5	talk.politics.misc	1
584	GraphDensity	q5	talk.politics.guns	2
585	GraphDensity	q5	soc.religion.christian	0
586	GraphDensity	q5	alt.atheism	5
587	GraphDensity	q5	misc.forsale	11
588	GraphDensity	q5	comp.graphics	34
589	GraphDensity	q5	talk.religion.misc	3
590	GraphDensity	q5	comp.sys.ibm.pc.hardware	2
591	GraphDensity	q5	comp.sys.mac.hardware	2
592	GraphDensity	q5	talk.politics.mideast	3
593	GraphDensity	q5	sci.electronics	2
594	GraphDensity	q5	comp.windows.x	3
595	GraphDensity	q5	sci.crypt	4
596	GraphDensity	q5	rec.motorcycles	10
597	GraphDensity	q5	comp.os.ms-windows.misc	3
598	GraphDensity	q5	rec.sport.baseball	9
599	GraphDensity	q5	rec.autos	1
600	GraphDensity	q6	sci.med	1
601	GraphDensity	q6	sci.space	1
602	GraphDensity	q6	rec.sport.hockey	2
603	GraphDensity	q6	talk.politics.misc	6
604	GraphDensity	q6	talk.politics.guns	3
605	GraphDensity	q6	soc.religion.christian	3
606	GraphDensity	q6	alt.atheism	0
607	GraphDensity	q6	misc.forsale	11
608	GraphDensity	q6	comp.graphics	36
609	GraphDensity	q6	talk.religion.misc	2
610	GraphDensity	q6	comp.sys.ibm.pc.hardware	2
611	GraphDensity	q6	comp.sys.mac.hardware	0
612	GraphDensity	q6	talk.politics.mideast	1
613	GraphDensity	q6	sci.electronics	3
614	GraphDensity	q6	comp.windows.x	1
615	GraphDensity	q6	sci.crypt	2
616	GraphDensity	q6	rec.motorcycles	14
617	GraphDensity	q6	comp.os.ms-windows.misc	0
618	GraphDensity	q6	rec.sport.baseball	11
619	GraphDensity	q6	rec.autos	1
620	GraphDensity	q7	sci.med	0
621	GraphDensity	q7	sci.space	3
622	GraphDensity	q7	rec.sport.hockey	3
623	GraphDensity	q7	talk.politics.misc	0
624	GraphDensity	q7	talk.politics.guns	2
625	GraphDensity	q7	soc.religion.christian	4
626	GraphDensity	q7	alt.atheism	2
627	GraphDensity	q7	misc.forsale	12
628	GraphDensity	q7	comp.graphics	27
629	GraphDensity	q7	talk.religion.misc	2
630	GraphDensity	q7	comp.sys.ibm.pc.hardware	3
631	GraphDensity	q7	comp.sys.mac.hardware	3
632	GraphDensity	q7	talk.politics.mideast	1
633	GraphDensity	q7	sci.electronics	2
