	Strategy	Query	Class	Value
395	GraphDensity	q4	crime	4
396	GraphDensity	q4	horror	1
397	GraphDensity	q4	drama	24
398	GraphDensity	q4	musical	2
399	GraphDensity	q4	romance	4
400	GraphDensity	q4	adventure	2
401	GraphDensity	q4	western	5
402	GraphDensity	q4	film noir	0
403	GraphDensity	q4	action	3
404	GraphDensity	q4	mystery	4
405	GraphDensity	q4	comedy	18
406	GraphDensity	q5	thriller	2
407	GraphDensity	q5	crime drama	1
408	GraphDensity	q5	unknown	29
409	GraphDensity	q5	crime	5
410	GraphDensity	q5	horror	1
411	GraphDensity	q5	drama	30
412	GraphDensity	q5	musical	2
413	GraphDensity	q5	romance	1
414	GraphDensity	q5	adventure	3
415	GraphDensity	q5	western	4
416	GraphDensity	q5	film noir	1
417	GraphDensity	q5	action	3
418	GraphDensity	q5	mystery	1
419	GraphDensity	q5	comedy	17
420	GraphDensity	q6	thriller	2
421	GraphDensity	q6	crime drama	2
422	GraphDensity	q6	unknown	25
423	GraphDensity	q6	crime	1
424	GraphDensity	q6	horror	3
425	GraphDensity	q6	drama	28
426	GraphDensity	q6	musical	1
427	GraphDensity	q6	romance	2
428	GraphDensity	q6	adventure	4
429	GraphDensity	q6	western	6
430	GraphDensity	q6	film noir	2
431	GraphDensity	q6	action	2
432	GraphDensity	q6	mystery	1
433	GraphDensity	q6	comedy	21
434	GraphDensity	q7	thriller	3
435	GraphDensity	q7	crime drama	2
436	GraphDensity	q7	unknown	19
437	GraphDensity	q7	crime	8
438	GraphDensity	q7	horror	2
439	GraphDensity	q7	drama	28
440	GraphDensity	q7	musical	1
441	GraphDensity	q7	romance	6
442	GraphDensity	q7	adventure	3
443	GraphDensity	q7	western	2
444	GraphDensity	q7	film noir	0
445	GraphDensity	q7	action	5
446	GraphDensity	q7	mystery	2
447	GraphDensity	q7	comedy	19
448	EER	q0	thriller	7
449	EER	q0	crime drama	0
450	EER	q0	unknown	28
451	EER	q0	crime	0
452	EER	q0	horror	2
453	EER	q0	drama	26
454	EER	q0	musical	3
455	EER	q0	romance	1
456	EER	q0	adventure	4
457	EER	q0	western	5
458	EER	q0	film noir	2
459	EER	q0	action	1
460	EER	q0	mystery	0
461	EER	q0	comedy	21
462	EER	q1	thriller	1
463	EER	q1	crime drama	1
464	EER	q1	unknown	26
465	EER	q1	crime	5
466	EER	q1	horror	2
467	EER	q1	drama	18
468	EER	q1	musical	4
469	EER	q1	romance	7
470	EER	q1	adventure	0
471	EER	q1	western	0
472	EER	q1	film noir	2
473	EER	q1	action	1
474	EER	q1	mystery	1
475	EER	q1	comedy	32
476	EER	q2	thriller	7
477	EER	q2	crime drama	2
478	EER	q2	unknown	22
479	EER	q2	crime	4
480	EER	q2	horror	5
481	EER	q2	drama	25
482	EER	q2	musical	1
483	EER	q2	romance	2
484	EER	q2	adventure	5
485	EER	q2	western	4
486	EER	q2	film noir	0
487	EER	q2	action	10
488	EER	q2	mystery	1
489	EER	q2	comedy	12
490	EER	q3	thriller	1
491	EER	q3	crime drama	0
492	EER	q3	unknown	27
493	EER	q3	crime	11
494	EER	q3	horror	3
495	EER	q3	drama	19
496	EER	q3	musical	4
497	EER	q3	romance	6
498	EER	q3	adventure	2
499	EER	q3	western	2
500	EER	q3	film noir	1
501	EER	q3	action	5
502	EER	q3	mystery	5
503	EER	q3	comedy	14
504	EER	q4	thriller	4
505	EER	q4	crime drama	0
506	EER	q4	unknown	19
507	EER	q4	crime	2
508	EER	q4	horror	3
509	EER	q4	drama	32
510	EER	q4	musical	1
511	EER	q4	romance	3
512	EER	q4	adventure	2
513	EER	q4	western	10
514	EER	q4	film noir	3
515	EER	q4	action	2
516	EER	q4	mystery	3
517	EER	q4	comedy	16
518	EER	q5	thriller	3
519	EER	q5	crime drama	1
520	EER	q5	unknown	17
521	EER	q5	crime	6
522	EER	q5	horror	1
523	EER	q5	drama	28
524	EER	q5	musical	1
525	EER	q5	romance	3
526	EER	q5	adventure	2
527	EER	q5	western	4
528	EER	q5	film noir	1
529	EER	q5	action	5
530	EER	q5	mystery	2
531	EER	q5	comedy	26
532	EER	q6	thriller	2
533	EER	q6	crime drama	4
534	EER	q6	unknown	31
535	EER	q6	crime	4
536	EER	q6	horror	2
537	EER	q6	drama	31
538	EER	q6	musical	1
539	EER	q6	romance	0
540	EER	q6	adventure	2
541	EER	q6	western	5
542	EER	q6	film noir	1
543	EER	q6	action	4
544	EER	q6	mystery	0
545	EER	q6	comedy	13
546	EER	q7	thriller	3
547	EER	q7	crime drama	0
548	EER	q7	unknown	42
549	EER	q7	crime	0
550	EER	q7	horror	0
551	EER	q7	drama	24
552	EER	q7	musical	2
553	EER	q7	romance	2
554	EER	q7	adventure	1
555	EER	q7	western	5
556	EER	q7	film noir	0
557	EER	q7	action	0
558	EER	q7	mystery	3
559	EER	q7	comedy	18
560	LAL_iter	q0	thriller	7
561	LAL_iter	q0	crime drama	0
562	LAL_iter	q0	unknown	28
563	LAL_iter	q0	crime	0
564	LAL_iter	q0	horror	2
565	LAL_iter	q0	drama	26
566	LAL_iter	q0	musical	3
567	LAL_iter	q0	romance	1
568	LAL_iter	q0	adventure	4
569	LAL_iter	q0	western	5
570	LAL_iter	q0	film noir	2
571	LAL_iter	q0	action	1
572	LAL_iter	q0	mystery	0
573	LAL_iter	q0	comedy	21
574	LAL_iter	q1	thriller	2
